Rk,Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
340.0,Jamal Cain,NOP,16.0,14.1,1.6,3.4,0.455,0.6,1.8,0.321,1.0,1.7,0.593,0.6,1.0,0.625,0.9,1.9,2.8,0.6,0.5,0.4,0.4,1.3,4.3
341.0,Wendell Moore Jr.,DET,12.0,14.3,1.6,3.0,0.528,0.3,0.8,0.333,1.3,2.3,0.593,0.9,1.0,0.917,0.8,2.3,3.1,1.2,0.7,0.3,0.7,1.1,4.3
342.0,Precious Achiuwa,NYK,5.0,18.4,1.6,3.8,0.421,0.0,0.6,0.0,1.6,3.2,0.5,1.0,2.0,0.5,1.4,4.6,6.0,1.2,0.8,1.0,0.8,1.2,4.2
343.0,Oso Ighodaro,PHO,20.0,16.6,1.9,3.0,0.617,0.0,0.0,,1.9,3.0,0.617,0.5,0.7,0.769,1.2,2.7,3.9,1.0,0.5,0.3,0.6,1.8,4.2
344.0,Reggie Jackson,PHI,11.0,11.3,1.5,3.7,0.415,1.1,2.5,0.444,0.5,1.3,0.357,0.0,0.0,,0.1,0.7,0.8,2.0,0.5,0.3,0.6,0.8,4.2
345.0,Mason Plumlee,PHO,24.0,17.5,1.6,2.9,0.557,0.0,0.0,,1.6,2.9,0.557,1.0,1.8,0.548,1.6,4.5,6.1,1.6,0.4,0.8,0.9,2.0,4.2
346.0,Dalen Terry,CHI,25.0,13.5,1.5,3.0,0.5,0.4,1.1,0.37,1.1,1.9,0.574,0.9,1.1,0.786,0.6,0.8,1.4,0.9,0.6,0.3,0.8,1.4,4.2
347.0,Gary Harris,ORL,17.0,16.6,1.4,3.5,0.4,1.0,2.7,0.37,0.4,0.8,0.5,0.2,0.4,0.667,0.5,0.8,1.4,0.4,0.5,0.3,0.4,0.8,4.1
348.0,Isaac Jones,SAC,16.0,9.3,1.8,2.8,0.644,0.1,0.3,0.25,1.8,2.6,0.683,0.4,0.9,0.467,0.5,1.0,1.5,0.1,0.1,0.4,0.6,1.4,4.1
349.0,Tre Jones,SAS,8.0,17.5,1.3,3.8,0.333,0.4,1.5,0.25,0.9,2.3,0.389,1.3,1.8,0.714,0.6,1.8,2.4,3.3,0.6,0.3,0.6,1.5,4.1
350.0,Doug McDermott,SAC,20.0,9.1,1.4,3.2,0.438,1.2,2.7,0.426,0.3,0.5,0.5,0.2,0.3,0.6,0.1,0.7,0.8,0.2,0.1,0.1,0.1,0.9,4.1
351.0,Blake Wesley,SAS,21.0,11.8,1.6,3.5,0.459,0.2,1.0,0.2,1.4,2.6,0.556,0.7,1.0,0.714,0.3,0.6,0.9,2.0,0.4,0.1,1.0,0.6,4.1
352.0,Aaron Holiday,HOU,16.0,9.4,1.3,2.9,0.457,0.9,2.2,0.429,0.4,0.7,0.545,0.4,0.6,0.778,0.0,0.9,0.9,1.3,0.1,0.1,0.3,0.6,4.0
353.0,Richaun Holmes,WAS,3.0,6.7,1.7,3.3,0.5,0.0,0.3,0.0,1.7,3.0,0.556,0.7,0.7,1.0,0.7,1.0,1.7,0.0,0.0,0.7,0.7,0.3,4.0
354.0,Jett Howard,ORL,26.0,10.5,1.4,3.8,0.37,0.9,3.0,0.312,0.5,0.9,0.565,0.2,0.3,0.857,0.4,0.8,1.2,0.5,0.2,0.2,0.3,0.9,4.0
355.0,Micah Potter,UTA,5.0,20.2,1.4,3.8,0.368,1.2,3.2,0.375,0.2,0.6,0.333,0.0,0.0,,2.0,4.6,6.6,1.0,0.2,0.6,1.0,1.2,4.0
356.0,Josh Richardson,MIA,8.0,18.8,1.4,4.8,0.289,0.8,2.8,0.273,0.6,2.0,0.313,0.5,0.5,1.0,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0
357.0,Rob Dillingham,MIN,13.0,8.4,1.6,3.4,0.477,0.7,1.4,0.5,0.9,2.0,0.462,0.0,0.0,,0.1,0.7,0.8,1.5,0.2,0.0,1.0,0.3,3.9
358.0,Jock Landale,HOU,14.0,11.1,1.5,3.4,0.447,0.2,0.4,0.5,1.3,2.9,0.439,0.7,1.4,0.526,1.4,1.9,3.3,1.0,0.2,0.4,0.5,1.0,3.9
359.0,KJ Simpson,CHO,9.0,13.3,1.3,4.4,0.3,0.3,2.2,0.15,1.0,2.2,0.45,0.9,1.1,0.8,1.0,0.7,1.7,2.0,0.6,0.2,1.0,1.4,3.9
360.0,Gabe Vincent,LAL,26.0,19.0,1.5,4.3,0.345,0.7,2.6,0.279,0.8,1.7,0.444,0.2,0.3,0.5,0.3,0.8,1.2,0.8,0.9,0.2,0.6,1.9,3.9
361.0,Luka Garza,MIN,8.0,4.5,1.5,2.6,0.571,0.1,0.8,0.167,1.4,1.9,0.733,0.6,1.0,0.625,0.5,0.6,1.1,0.0,0.1,0.0,0.4,0.5,3.8
362.0,Damion Lee,PHO,4.0,9.3,1.0,3.5,0.286,0.3,2.3,0.111,0.8,1.3,0.6,1.5,1.5,1.0,0.0,1.3,1.3,1.3,0.5,0.0,0.8,0.3,3.8
363.0,Cam Reddish,LAL,19.0,19.8,1.3,2.7,0.481,0.5,1.5,0.357,0.8,1.3,0.625,0.6,0.9,0.706,0.5,1.6,2.1,0.8,1.2,0.3,0.5,1.6,3.8
364.0,Reed Sheppard,HOU,24.0,11.8,1.5,4.1,0.357,0.7,2.3,0.304,0.8,1.8,0.429,0.2,0.2,1.0,0.3,0.8,1.0,1.3,0.5,0.3,0.6,1.0,3.8
365.0,Nicolas Batum,LAC,27.0,18.1,1.2,3.2,0.384,1.0,2.5,0.382,0.3,0.7,0.389,0.3,0.4,0.7,0.7,2.0,2.7,1.4,0.5,0.4,0.5,1.4,3.7
366.0,Andre Jackson Jr.,MIL,24.0,18.0,1.4,3.5,0.41,0.7,1.8,0.381,0.8,1.7,0.439,0.2,0.3,0.5,0.8,2.3,3.1,1.4,0.8,0.3,1.3,2.6,3.7
367.0,Bruno Fernando,TOR,16.0,8.9,1.6,3.0,0.542,0.0,0.0,,1.6,3.0,0.542,0.4,0.5,0.75,1.3,1.8,3.1,1.1,0.3,0.6,0.9,1.6,3.6
368.0,Patty Mills,UTA,9.0,15.3,1.2,3.4,0.355,0.8,2.7,0.292,0.4,0.8,0.571,0.3,0.3,1.0,0.1,0.8,0.9,1.4,0.7,0.2,0.9,0.9,3.6
369.0,Johnny Davis,WAS,19.0,9.6,1.4,3.0,0.474,0.3,0.9,0.333,1.1,2.1,0.538,0.4,0.6,0.636,0.4,1.3,1.6,0.4,0.6,0.3,0.2,0.8,3.5
370.0,Ousmane Dieng,OKC,16.0,11.6,1.3,3.7,0.339,0.6,2.3,0.25,0.7,1.4,0.478,0.4,0.7,0.636,0.6,2.1,2.6,0.8,0.7,0.3,0.3,1.1,3.5
371.0,Rayan Rupert,POR,21.0,10.6,1.3,3.0,0.438,0.4,1.4,0.31,0.9,1.7,0.543,0.4,0.6,0.667,0.8,0.8,1.6,0.5,0.3,0.1,0.6,0.8,3.5
372.0,Daniel Theis,NOP,19.0,14.2,1.4,3.2,0.426,0.3,1.0,0.263,1.1,2.2,0.5,0.5,0.6,0.833,0.8,2.5,3.4,1.3,0.4,0.6,0.6,1.6,3.5
373.0,Dario Å ariÄ,DEN,10.0,13.6,1.2,4.0,0.3,0.5,1.9,0.263,0.7,2.1,0.333,0.5,0.6,0.833,0.9,2.6,3.5,1.1,0.6,0.0,1.1,1.4,3.4
374.0,Bol Bol,PHO,7.0,5.3,1.3,2.1,0.6,0.1,0.7,0.2,1.1,1.4,0.8,0.6,0.9,0.667,0.6,1.0,1.6,0.1,0.0,0.0,0.4,0.1,3.3
375.0,Jae Crowder,SAC,6.0,14.8,1.0,2.8,0.353,0.5,2.0,0.25,0.5,0.8,0.6,0.8,1.0,0.833,1.0,1.8,2.8,0.7,0.5,0.0,0.7,1.7,3.3
376.0,Moussa DiabatÃ©,CHO,24.0,19.3,1.5,2.6,0.581,0.0,0.0,,1.5,2.6,0.581,0.3,0.7,0.353,3.5,3.9,7.4,0.7,0.7,0.9,1.0,1.9,3.3
377.0,Moses Brown,IND,9.0,5.1,1.4,2.2,0.65,0.0,0.0,,1.4,2.2,0.65,0.3,0.6,0.6,0.4,1.0,1.4,0.0,0.2,0.1,0.7,0.7,3.2
378.0,Isaiah Collier,UTA,18.0,16.8,1.3,4.1,0.311,0.2,1.6,0.138,1.1,2.5,0.422,0.4,1.0,0.444,0.1,1.6,1.7,3.2,0.9,0.2,2.2,1.7,3.2
379.0,Johnny Furphy,IND,17.0,10.2,1.1,2.7,0.391,0.6,1.6,0.393,0.4,1.1,0.389,0.4,0.4,1.0,0.6,0.8,1.4,0.4,0.4,0.3,0.5,1.0,3.2
380.0,Nick Smith Jr.,CHO,13.0,9.3,1.2,3.7,0.333,0.6,2.0,0.308,0.6,1.7,0.364,0.0,0.0,,0.1,0.8,0.8,0.8,0.3,0.1,0.2,0.6,3.1
381.0,Cody Williams,UTA,16.0,18.7,1.1,4.2,0.269,0.4,2.3,0.189,0.7,1.9,0.367,0.4,0.6,0.6,0.5,1.8,2.3,1.2,0.4,0.3,0.7,1.3,3.1
382.0,David Duke Jr.,SAS,1.0,8.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
383.0,Collin Gillespie,PHO,1.0,3.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
384.0,Taze Moore,POR,2.0,10.0,1.0,5.0,0.2,0.5,2.0,0.25,0.5,3.0,0.167,0.5,1.0,0.5,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0
385.0,Quincy Olivari,LAL,1.0,8.0,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
386.0,Oscar Tshiebwe,UTA,1.0,16.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.0,4.0,0.75,3.0,6.0,9.0,0.0,2.0,0.0,1.0,3.0,3.0
387.0,Hunter Tyson,DEN,16.0,9.4,0.9,1.9,0.5,0.4,1.1,0.333,0.6,0.8,0.75,0.8,0.8,0.923,0.4,1.4,1.8,0.5,0.2,0.2,0.5,1.2,3.0
388.0,Jabari Walker,POR,21.0,11.1,1.2,3.0,0.391,0.1,0.9,0.158,1.0,2.1,0.489,0.5,0.6,0.846,0.9,2.2,3.1,0.6,0.4,0.1,0.6,1.3,3.0
389.0,Kobe Brown,LAC,7.0,6.7,1.3,2.9,0.45,0.1,0.9,0.167,1.1,2.0,0.571,0.1,0.3,0.5,0.7,1.6,2.3,0.6,0.1,0.0,0.0,0.7,2.9
